WBS,Phase,Task,Deliverable,Effort (days),Dependencies,Priority
8.5,Monitoring & Observability,Set up Grafana dashboard,Grafana dashboard with key metrics,1.5,8.4,Low
8.6,Monitoring & Observability,Create Discord webhook for signup events,Discord channel receiving signup notifications,0.5,2,High
8.7,Monitoring & Observability,Build user feedback endpoint + webhook,Feedback DB table + Discord notification,1,3.8,Medium
8.8,Monitoring & Observability,Set up uptime monitoring (UptimeRobot / Grafana Cloud),Uptime monitor pinging production URL,0.25,7.6,Medium
8.9,Monitoring & Observability,Add alerting rules (error rate spike),Alert notification via Discord,0.5,8.4,Low
9,Polish & Scale,Optimize slow queries (N+1 fixes + indexing),Query profiling results + DB indexes,1,3.7,Low
9.1,Polish & Scale,Add push notifications (Firebase),Push notification on sync conflict report ready,2,4.3,Low
9.2,Polish & Scale,Build weekly email report (Resend),Weekly email to user with spending summary,2,5.1,Low
9.3,Polish & Scale,Add PWA support for web,PWA manifest + service worker loading indicator,0.5,3,Low
9.4,Polish & Scale,Write E2E tests (Playwright),E2E test suite for main user journeys,2,6.1,Low
9.5,Polish & Scale,Add feature flags system,Feature flag table + middleware + admin toggle,1.5,3.8,Low
9.6,Polish & Scale,Build monitoring app prototype,Separate micro-app showing signups errors server health,3,8.9,Low
